Ob,CASE_STATUS,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
1232,DENIED,3/8/2017,3/14/2017,H-1B,3/15/2017,3/15/2020,PRIMUS ENTERTAINMENT GROUP LLC,,837 BAYPOINTE DRIVE,NEWPORT BEACH,CA,92660,UNITED STATES OF AMERICA,,3479186842,,N,",",,,PRODUCER/ MUSIC ARTIST,27-2042,MUSICIANS AND SINGERS,711130,1,1,0,0,0,0,0,Y,14.45,Hour,Level I,OES,2016,OFLC ONLINE DATA CENTER,14.45,0,Hour,N,N,,Y,NA,ANAHEIM,ORANGE,CA,92806,
1233,DENIED,1/6/2017,1/12/2017,H-1B,1/9/2017,1/8/2020,DELOITTE & TOUCHE LLP,,1700 MARKET STREET,PHILADELPHIA,PA,19103,UNITED STATES OF AMERICA,,2152462300,,Y,"POORAK, SHARON",ATLANTA,GA,ADVISORY SENIOR CONSULTANT,13-1111,MANAGEMENT ANALYSTS,54121,15,0,5,5,0,5,0,Y,56555,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,63800,0,Year,N,N,,,NA,PHILADELPHIA,PENNSYLVANIA,PA,19103,
1234,DENIED,6/5/2017,6/8/2017,H-1B,6/12/2017,6/11/2020,"RIVERA, JAMJIAN & ASSOCIATES, LLP",,811 WILSHIRE BLVD.,LOS ANGELES,CA,90017,UNITED STATES OF AMERICA,,2134122000,,Y,"WANG, ALAN",ARCADIA,CA,ACCOUNTANT,13-2011,ACCOUNTANTS AND AUDITORS,541211,1,0,0,0,0,1,0,Y,47278,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,62000,0,Year,N,N,,,NA,LOS ANGELES,CALIFORNIA,CA,90017,
1235,DENIED,3/31/2017,3/31/2017,H-1B,9/5/2017,9/4/2020,SYNAPSIS INC,,400 CHATHAM DR  SUITE 100,SPRINGFIELD,IL,62704,UNITED STATES OF AMERICA,,2175034990,,N,",",,,PROGRAMMER ANALYST,15-1131,COMPUTER PROGRAMMERS,541511,1,0,1,0,0,0,0,Y,67974,Year,Level II,Other,2016,OFLC ONLINE DATA CENTER,67974,0,Year,Y,N,Y,Y,NA,FOSTER CITY,SAN MATEO COUNTY,CA,94404,
1236,DENIED,9/6/2017,9/8/2017,H-1B,10/23/2017,10/23/2020,"GIBSON, DUNN & CRUTCHER, LLP",,333 SOUTH GRAND AVENUE,LOS ANGELES,CA,90071,,,,,,",",,,ASSOCIATE ATTORNEY,23-1011,LAWYERS,541110,1,1,0,0,0,0,0,Y,100443,Year,,OES,2017,OFLC ONLINE DATA CENTER,210000,0,Year,N,N,,Y,NA,WASHINGTON,DC,DC,20036,
1237,DENIED,3/18/2016,7/28/2017,H-1B,9/14/2016,9/13/2019,"MATRIX RESOURCES, INC.",,1000 ABERNATHY ROAD,ATLANTA,GA,30328,,,,,,",",,,NETWORK ENGINEER,15-1143,COMPUTER NETWORK ARCHITECTS,561320,1,1,0,0,0,0,0,Y,115170,Year,,OES,2015,OFLC ONLINE DATA CENTER,115170,180000,Year,N,N,,Y,NA,BELLEVUE,KING,WA,98004,
1238,DENIED,3/29/2016,7/27/2017,H-1B,9/7/2016,9/6/2019,APPLIED MICRO CIRCUITS CORPORATION,,4555 GREAT AMERICA PARKWAY,SANTA CLARA,CA,95054,,,,,,",",,,SENIOR HARDWARE APPLICATION ENGINEER,17-2061,COMPUTER HARDWARE ENGINEERS,334414,1,1,0,0,0,0,0,Y,99796,Year,,Other,2016,RADFORD GLOBAL TECHNOLOGY SURVEY,99796,0,Year,N,N,,Y,NA,SANTA CLARA,SANTA CLARA,CA,95054,
1239,DENIED,3/9/2017,3/10/2017,H-1B,9/7/2017,9/6/2020,VERIAN TECHNOLOGIES LLC,BASWARE TECHNOLOGIES LLC,1245 ROSEMONT DRIVE,FORT MILL,SC,29707,UNITED STATES OF AMERICA,,7045477301,,Y,"EDWARDS, ELIZABETH",CHARLOTTE,NC,SOLUTION CONSULTANT,15-1131,COMPUTER PROGRAMMERS,541512,1,1,0,0,0,0,0,Y,58282,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,75000,0,Year,N,N,,,NA,FORT MILL,SOUTH CAROLINA,SC,29707,
1240,DENIED,3/8/2017,3/14/2017,H-1B,9/2/2017,9/2/2020,THE CLIMATE CORPORATION,,201 THIRD STREET,SAN FRANCISCO,CA,94103,UNITED STATES OF AMERICA,,4153630500,,Y,"FRIEND, CAROL",DETROIT,MI,QUANTITATIVE RESEARCHER,15-2041,STATISTICIANS,541711,1,1,0,0,0,0,0,Y,77480,Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,87550,0,Year,N,N,,,NA,SEATTLE,KING,WA,98104,
1241,DENIED,2/12/2016,1/4/2017,H-1B,8/12/2016,8/12/2019,EOS ACCOUNTANTS LLP,,401 HACKENSACK AVENUE,HACKENSACK,NJ,7601,UNITED STATES OF AMERICA,,2018363710,,Y,"SINDELL, DAVID",NEW YORK,NY,AUDIT STAFF ACCOUNTANT,13-2011,ACCOUNTANTS AND AUDITORS,541211,1,1,0,0,0,0,0,Y,57304,Year,Level I,OES,2015,OFLC ONLINE DATA CENTER,57304,0,Year,Y,N,Y,,NA,SAN MATEO,SAN MATEO,CA,94403,
1242,DENIED,6/29/2017,7/3/2017,H-1B,9/20/2017,9/20/2020,"NETWORK 1 FINANCIAL SECURITIES, INC.",,2 BRIDGE AVENUE,RED BANK,NJ,7701,,,,,,",",,,FINANCIAL ANALYST,13-2051,FINANCIAL ANALYSTS,551112,1,0,0,0,0,1,0,Y,65749,Year,,OES,2016,OFLC ONLINE DATA CENTER,67216,0,Year,N,N,,Y,NA,RED BANK,MONMOUTH,NJ,7701,
1243,DENIED,6/5/2017,6/7/2017,H-1B,9/22/2017,9/21/2020,PENN STATE MILTON S. HERSHEY MEDICAL CENTER,,500 UNIVERSITY DRIVE,HERSHEY,PA,17033,UNITED STATES OF AMERICA,,7175315611,,Y,"GOLDBLUM, JANE",JENKINTOWN,PA,PEDIATRIC NEUROSURGEON/ASSISTANT PROFESSOR OF NEUROSURGERY,25-1071,"HEALTH SPECIALTIES TEACHERS, POSTSECONDARY",622110,1,0,1,0,0,0,0,Y,51360,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,508309.15,0,Year,N,N,,,NA,HERSHEY,DAUPHIN,PA,17033,
1244,DENIED,12/3/2015,8/24/2017,E-3 Australian,12/10/2015,12/9/2017,BRUNSWICK GROUP LLC,,245 PARK AVENUE,NEW YORK,NY,10167,,,,,,",",,,ACCOUNT DIRECTOR,27-3031,PUBLIC RELATIONS SPECIALISTS,541820,1,1,0,0,0,0,0,Y,54954,Year,,OES,2015,OFLC ONLINE DATA CENTER,67500,0,Year,,,,,NA,NEW YORK,NEW YORK,NY,10167,
1245,DENIED,12/20/2016,12/20/2016,H-1B,1/27/2017,1/27/2020,"TESLA MOTORS, INC.",,3500 DEER CREEK ROAD,PALO ALTO,CA,94304,UNITED STATES OF AMERICA,,6506815000,,N,",",,,"STAFF APPLICATIONS DEVELOPER, DIGITAL PRODUCTS",15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",336111,1,0,1,0,0,0,0,Y,116500,Year,,Other,2016,RADFORD GLOBAL TECHNOLOGY SURVEY,120000,130000,Year,N,N,,Y,NA,FREMONT,ALAMEDA,CA,94538,
1246,DENIED,9/1/2017,9/1/2017,H-1B,2/16/2018,2/15/2021,"QUALITY SOFTWARE SERVICES, INC.",,10480 LITTLE PATUXENT PARKWAY,COLUMBIA,MD,21044,,,,,,",",,,DATABASE ADMINISTRATOR,15-1141,DATABASE ADMINISTRATORS,541511,1,0,1,0,0,0,0,Y,72072,Year,,OES,2017,OFLC ONLINE DATA CENTER,114000,0,Year,Y,N,Y,,NA,COLUMBIA,HOWARD,MD,21044,
1247,DENIED,1/11/2017,1/18/2017,H-1B,7/2/2017,7/1/2020,CERNER CORPORATION,,2800 ROCKCREEK PARKWAY,NORTH KANSAS CITY,MO,64117,UNITED STATES OF AMERICA,,8162011024,,N,",",,,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,0,1,0,0,0,0,Y,66997,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,76300,0,Year,N,N,,Y,NA,NORTH KANSAS CITY,CLAY,MO,64117,
1248,DENIED,3/23/2016,7/21/2017,H-1B,3/30/2016,3/29/2019,KPMG LLP,,2323 ROSS AVENUE,DALLAS,TX,75201-2709,,,,,,",",,,MANAGER,13-1111,MANAGEMENT ANALYSTS,54121,1,0,0,0,0,0,1,Y,108410,Year,,OES,2015,OFLC ONLINE DATA CENTER,108410,190000,Year,N,N,,,NA,HOUSTON,HARRIS,TX,77002,
1249,DENIED,1/9/2017,1/11/2017,H-1B,7/2/2017,7/1/2020,CERNER CORPORATION,,2800 ROCKCREEK PARKWAY,NORTH KANSAS CITY,MO,64117,UNITED STATES OF AMERICA,,8162011024,,N,",",,,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,0,1,0,0,0,0,Y,66997,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,70500,0,Year,N,N,,Y,NA,KANSAS CITY,CLAY,MO,64117,
1250,DENIED,2/28/2017,3/1/2017,H-1B,8/28/2017,8/27/2020,IBM CORPORATION,,3039 E CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192544342,,N,",",,,DATA SCIENTIST,15-2031,OPERATIONS RESEARCH ANALYSTS,54151,1,1,0,0,0,0,0,Y,109728,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,96232.8,113400,Year,N,N,,,NA,CHICAGO,COOK,IL,60606,
1251,DENIED,11/30/2016,12/2/2016,H-1B,5/29/2017,5/28/2020,IBM CORPORATION,,3039 E CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192544342,,N,",",,,COGNITIVE SOFTWARE DEVELOPER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",54151,1,1,0,0,0,0,0,Y,93870,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,130000,0,Year,N,N,,,NA,YORKTOWN HEIGHTS,WESTCHESTER,NY,10598,
1252,DENIED,7/19/2017,7/20/2017,H-1B,9/18/2017,9/16/2020,"CHRIST THE KING PREPARATORY SCHOOL OF NEWARK, NJ",,239 WOODSIDE AVE,NEWARK,NJ,7104,,,,,,",",,,TEACHER,25-3099,"TEACHERS AND INSTRUCTORS, ALL OTHER",6111,1,0,1,0,0,0,0,Y,38390,Year,,OES,2017,OFLC ONLINE DATA CENTER,38137,0,Year,N,N,,Y,NA,NEWARK,ESSEX,NJ,7104,
1253,DENIED,3/7/2017,3/8/2017,H-1B,3/20/2017,3/20/2020,TACHYON TECHNOLOGIES LLC,,4545 FULLER DRIVE,IRVING,TX,75038,UNITED STATES OF AMERICA,,4696666554,,N,",",,,QLIKVIEW CONSULTANT,15-1131,COMPUTER PROGRAMMERS,54169,1,0,0,1,0,0,0,Y,52229,Year,Level I,OES,2017,OFLC ONLINE DATA CENTER,65000,0,Year,Y,N,Y,,NA,MOUNTAIN VIEW,SANTA CLARA,CA,94043,
1254,DENIED,3/6/2017,3/6/2017,H-1B,9/1/2017,8/31/2020,"CASENET, LLC",,36 CROSBY DRIVE,BEDFORD,MA,1730,UNITED STATES OF AMERICA,,7813572700,,Y,"RICCIO, LAURIE",BOSTON,MA,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",511210,1,1,0,0,0,0,0,Y,108700,Year,,Other,2016,THE SURVEY GROUP/2016 BENCHMARK COMPENSATION SURVEY,108700,0,Year,N,N,,Y,NA,BEDFORD,MIDDLESEX,MA,1730,
1255,DENIED,10/7/2016,10/11/2016,H-1B,10/17/2016,10/16/2019,"SALESFORCE.COM, INC.",,THE LANDMARK @ MARKET STREET,SAN FRANCISCO,CA,94105,UNITED STATES OF AMERICA,,4153076706,,Y,"ANNAND, CHRISTINE",ARLINGTON,VA,"MARKETING CLOUD SUPERVISOR, TECHNICAL SUPPORT",15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,1,0,0,0,0,1,0,Y,53518,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,53518,0,Year,N,N,,,NA,INDIANAPOLIS,MARION,IN,46204,
1256,DENIED,3/23/2017,3/30/2017,H-1B,9/10/2017,9/9/2020,INFO KEYS INC,,5005 W ROYAL LN SUITE 253,IRVING,TX,75063,UNITED STATES OF AMERICA,,8006220405,,N,",",,,PROGRAMMER ANALYST,15-1131,COMPUTER PROGRAMMERS,541511,1,0,1,0,0,0,0,Y,67891,Year,Level II,Other,2016,OFLC ONLINE DATA CENTER,65000,65000,Year,Y,N,Y,Y,NA,CORINTH,DENTON,TX,76210,
1257,DENIED,3/7/2017,3/10/2017,H-1B,9/6/2017,9/6/2020,"FOG PHARMACEUTICALS, INC.",,100 ACORN PARK DRIVE,CAMBRIDGE,MA,2140,UNITED STATES OF AMERICA,,6174448642,,Y,"ARAUJO, ANNELISE",BOSTON,MA,BIOCHEMIST,19-1021,BIOCHEMISTS AND BIOPHYSICISTS,541711,1,1,0,0,0,0,0,Y,82285,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,95000,0,Year,N,N,,Y,NA,CAMBRIDGE,MIDDLESEX,MA,2140,
1258,DENIED,3/2/2017,3/8/2017,H-1B,9/1/2017,8/31/2020,FRUIT GARDEN INC,EDIBLE ARRANGEMENTS,3209 S BROADWAY STE 111,EDMOND,OK,73013,UNITED STATES OF AMERICA,,4056008688,,N,",",,,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,35-3041,"FOOD SERVERS, NONRESTAURANT",3114,1,1,0,0,0,0,0,Y,43000,Year,Level I,Other,2017,FLC DATA CENTER,43000,0,Year,N,N,,Y,NA,EDMOND,OKLAHOMA,OK,73013,
1259,DENIED,4/21/2017,4/21/2017,H-1B,10/1/2017,9/30/2020,"SECURVIEW, INC.",,200 METROPLEX DRIVE,EDISON,NJ,8817,UNITED STATES OF AMERICA,,7323937704,,Y,"GURNANI, RAMESH",EDISON,NJ,SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541512,1,0,1,0,0,0,0,Y,64813,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,72000,0,Year,N,N,,,NA,EDISON,MIDDLESEX,NJ,8817,
1260,DENIED,8/12/2016,7/26/2017,H-1B,11/2/2016,11/1/2018,IBM INDIA PRIVATE LIMITED,,3039 CORNWALLIS ROAD,DURHAM,NC,27709,,,,,,",",,,PACKAGE SOLUTION CONSULTANT,15-1121,COMPUTER SYSTEMS ANALYSTS,54151,1,0,1,0,0,0,0,Y,77563,Year,,OES,2016,OFLC ONLINE DATA CENTER,89901,0,Year,N,N,,,NA,COLLEGEVILLE,MONTGOMERY,PA,19426,
1261,DENIED,6/13/2017,6/16/2017,H-1B,6/19/2017,6/18/2020,ERICSSON INC.,,"6300 LEGACY DRIVE, R1-C10",PLANO,TX,75024,UNITED STATES OF AMERICA,,4692663038,,Y,"GROSS, MATTHEW",DALLAS,TX,ENGINEER - SERVICES SOFTWARE,15-1121,COMPUTER SYSTEMS ANALYSTS,334220,1,0,0,0,0,1,0,Y,79526,Year,,Other,2016,DIETRICH SPRING 2017 ENGINEERING SALARY SURVEY,85280,127920,Year,N,N,,,NA,BELLEVUE,KING,WA,98006,
1262,DENIED,5/20/2015,9/6/2017,H-1B,9/5/2015,9/4/2018,IBM INDIA PRIVATE LIMITED,,3039 CORNWALLIS RD,DURHAM,NC,27709,,,,,,",",,,APPLICATION DEVELOPER,15-1131,COMPUTER PROGRAMMERS,541510,1,0,1,0,0,0,0,Y,70304,Year,,OES,2014,OFLC ONLINE DATACENTER,77334,0,Year,N,N,,,NA,MIDDLETOWN,MONMOUTH,NJ,7748,
1263,DENIED,8/8/2016,1/17/2017,H-1B,8/24/2016,8/23/2019,CUMMINS INC.,,2931 ELM HILL PIKE,NASHVILLE,TN,37214,UNITED STATES OF AMERICA,,6159862590,,Y,"PETERSON-ROSS, CHERI",CHICAGO,IL,LINE HUMAN RESOURCES GENERALIST,13-1071,HUMAN RESOURCES SPECIALISTS,3336,1,0,0,1,0,0,0,Y,46134,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,73590,75800,Year,N,N,,,NA,NASHVILLE,DAVIDSON,TN,37214,
1264,DENIED,3/5/2017,3/5/2017,H-1B,8/1/2017,7/31/2020,PINE BELT MENTAL HEALTHCARE RESOURCES,,P O BOX 18678,HATTIESBURG,MS,39404,UNITED STATES OF AMERICA,,6012642111,,Y,"WALKER, BARRY",TUPELO,MS,CHILD & ASOLESCENT PSYCHIATRIST,19-1042,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",621111,1,1,0,0,0,0,0,Y,54330,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,230000,0,Year,N,N,,Y,NA,HATTIESBURG,FORREST,MS,39401,
1265,DENIED,1/11/2017,1/13/2017,H-1B,5/1/2017,4/30/2020,ROSALIND FRANKLIN UNIVERSITY OF MEDICINE &AMP; SCIENCE,,3333 GREEN BAY ROAD,NORTH CHICAGO,IL,60064-3095,UNITED STATES OF AMERICA,,8475783266,,Y,"EMERICK, JULIE",CHICAGO,IL,SENIOR RESEARCH ASSOCIATE,19-1042,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",611310,1,1,0,0,0,0,0,Y,41725,Year,Level I,OES,2017,OFLC ONLINE DATA CENTER,41725,71725,Year,N,N,,Y,NA,NORTH CHICAGO,LAKE,IL,60064,
1266,DENIED,3/27/2017,3/27/2017,H-1B,3/27/2017,3/26/2020,PEOPLE TECH GROUP INC.,,1110 112TH AVENUE NE,BELLEVUE,WA,98052,UNITED STATES OF AMERICA,,4256438174,,N,",",,,PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,0,0,0,1,0,Y,52478,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,70000,0,Year,Y,N,Y,Y,NA,WARREN,MACOMB,MI,48090,
1267,DENIED,2/24/2017,3/1/2017,H-1B,8/1/2017,7/31/2020,YAPJOY INC.,,2600 KITTY HAWK ROAD,LIVERMORE,CA,94551,UNITED STATES OF AMERICA,,5108256132,,Y,"NAIR, NANDINI",ISELIN,NJ,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",518210,1,1,0,0,0,0,0,N,38.88,Hour,Level I,OES,2016,OFLC ONLINE DATA CENTER,38.88,0,Hour,N,N,,,NA,LIVERMORE,ALAMEDA,CA,94551,
1268,DENIED,3/16/2017,3/16/2017,H-1B,9/15/2017,9/15/2020,PROWESSOFT INC,,190 MOORE ST,HACKENSACK,NJ,7601,UNITED STATES OF AMERICA,,9163978589,,Y,"GUTTIKONDA, PARESH",MELVILLE,NY,SYSTEMS ANALYST (TECHNICAL ANALYST),15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,1,0,0,0,0,0,Y,64813,Year,Level I,Other,2016,OFLC ONLINE DATA CENTER,65000,0,Year,N,N,,,NA,VALHALLA,WESTCHESTER,NY,10595-1338,
1269,DENIED,3/16/2017,3/20/2017,H-1B,8/30/2017,8/29/2020,YBRANT TECHNOLOGIES LLC.,,300 N. POTTSTOWN PIKE,EXTON,PA,19341,UNITED STATES OF AMERICA,,7326662556,,N,",",,,PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,10,10,0,0,0,0,0,Y,62234,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,68000,0,Year,N,N,,Y,NA,EXTON,CHESTER,WA,19341,
1270,DENIED,5/26/2017,5/31/2017,H-1B,5/26/2017,5/25/2020,CAPGEMINI AMERICA INC,,333 WEST WACKER DRIVE,CHICAGO,IL,60606,UNITED STATES OF AMERICA,,3123955000,,N,",",,,PROGRAMMER/DEVELOPER 2,15-1131,COMPUTER PROGRAMMERS,5416,3,1,0,0,0,1,1,Y,70616,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,70100,0,Year,Y,N,Y,,NA,AUSTIN,HARRIS,TX,77070,
1271,DENIED,3/29/2017,3/30/2017,H-1B,4/19/2017,4/18/2020,SATURN TECH LLC,SAANVI TECHNOLOGIES,24155 DRAKE ROAD,FARMINGTON,MI,48335,UNITED STATES OF AMERICA,,2484204571,,N,",",,,SENIOR PROGRAMMER ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,0,0,0,1,0,Y,95430,Year,Level III,Other,2016,OFLC ONLINE DATA CENTER,95430,0,Year,Y,N,Y,Y,NA,ALLEN PARK,WAYNE,MI,48101,
1272,DENIED,8/19/2014,2/8/2017,H-1B,9/6/2014,9/5/2017,AMAZON CORPORATE LLC,,440 TERRY AVENUE NORTH,SEATTLE,WA,98109,UNITED STATES OF AMERICA,,2062669562,,Y,"CAREY, MOLLY",BOSTON,MA,SOFTWARE DEVELOPMENT ENGINEER I,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",454111,1,0,1,0,0,0,0,Y,81432,Year,Level I,OES,2014,OFLC ONLINE DATA CENTER,93900,0,Year,N,N,,,NA,SEATTLE,KING,WA,98121,
1273,DENIED,7/12/2017,7/13/2017,H-1B,7/12/2017,7/11/2020,SVK SYSTEMS INC,,3057 PEACHTREE INDUSTRIAL BLVD,DULUTH,GA,30097,,,,,,",",,,PROGRAMMER ANALYST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,0,0,0,0,1,Y,78624,Year,,OES,2016,OFLC ONLINE DATA CENTER,80000,0,Year,Y,N,Y,Y,NA,MINNEAPOLIS,HENNEPIN,MN,55415,
1274,DENIED,2/21/2017,2/21/2017,H-1B,8/23/2017,10/31/2018,IBM INDIA PRIVATE LIMITED,,3039 CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192541582,,N,",",,,SECURITY CONSULTANT,15-1122,INFORMATION SECURITY ANALYSTS,54151,1,1,0,0,0,0,0,Y,72883,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,105066,0,Year,N,N,,,NA,CAMBRIDGE,MIDDLESEX,MA,2142,
1275,DENIED,3/24/2017,3/28/2017,H-1B,9/23/2017,9/22/2020,MVP SPORTS INC,NONE,1070 HAMILTON RD,DUARTE,CA,91010,UNITED STATES OF AMERICA,,6265317370,,Y,"LIU, TSUNG HSI",SAN GABRIEL,CA,STAFF ACCOUNTANT,13-2011,ACCOUNTANTS AND AUDITORS,561990,1,0,0,0,0,0,0,Y,63086,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,63086,0,Year,N,N,,Y,NA,DUARTE,LOS ANGELES,CA,91010,
1276,DENIED,4/10/2017,4/13/2017,H-1B,10/1/2017,9/30/2020,"SKML, LLC",,1755 PARK STREET,NAPERVILLE,IL,60563,UNITED STATES OF AMERICA,,6306977492,,Y,"NEAL, SHERRY",CINCINNATI,OH,PROGRAMMER ANALYST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,0,1,0,0,0,0,Y,73944,Year,Level II,Other,2016,OFLC ONLINE DATA CENTER,73944,115000,Year,N,N,,Y,NA,MILWAUKEE,MILWAUKEE,WI,53208,
1277,DENIED,10/18/2016,10/19/2016,H-1B,10/18/2016,10/17/2019,"EATSTREET, INC.",,316 W. WASHINGTON AVENUE,MADISON,WI,53703,UNITED STATES OF AMERICA,,8666548777,,Y,"OLIVIERI, JOSE'",MILWAUKEE,WI,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",5112,1,1,0,0,0,0,0,Y,56971,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,70000,75000,Year,N,N,,Y,NA,MADISON,DANE,WI,53703,
1278,DENIED,3/13/2017,3/14/2017,H-1B,9/12/2017,9/11/2020,"DESERT ANCILLARY SERVICES, PLLC",,10115 E. BELL ROAD,SCOTTSDALE,AZ,85260,UNITED STATES OF AMERICA,,4806564048,,Y,"PACE, JULIE",PHOENIX,AZ,SURGICAL FIRST ASSISTANT,29-2055,SURGICAL TECHNOLOGISTS,621111,1,1,0,0,0,0,0,Y,56430,Year,Level IV,Other,2016,OFLC ONLINE DATA CENTER,60000,60000,Year,N,N,,,NA,SCOTTSDALE,MARICOPA,AZ,85255,
1279,DENIED,5/22/2017,5/25/2017,H-1B,6/9/2017,6/9/2020,"SMART INFORMATION MANAGEMENT SYSTEMS, INC.",,103 MORGAN LANE,PLAINSBORO,NJ,8536,UNITED STATES OF AMERICA,,6099553025,,Y,"JAYASHANKAR, SRINIVAS",PLAINVIEW,NY,NETWORK ENGINEER,15-1142,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,541511,2,0,1,0,0,0,1,Y,97822,Year,Level III,OES,2017,OFLC ONLINE DATA CENTER,1.00E+05,0,Year,Y,N,Y,Y,NA,PLAINSBORO,MIDDLESEX,NJ,8536,
1280,DENIED,3/16/2017,3/23/2017,H-1B,8/6/2017,8/5/2020,UNIVERSITY OF CENTRAL ARKANSAS,,"WINGO HALL, SUITE 207, 201 DONAGHEY AVENUE",CONWAY,AR,72035,UNITED STATES OF AMERICA,,5014503247,,Y,"PIPKIN, MINDY",CONWAY,AR,"ASSISTANT PROFESSOR, SCHOOL COUNSELING",25-1081,"EDUCATION TEACHERS, POSTSECONDARY",611310,1,1,0,0,0,0,0,Y,48530,Year,Level II,Other,2017,OFLC ONLINE DATA CENTER,56000,0,Year,N,N,,,NA,CONWAY,AR,AR,72035,
1281,DENIED,8/14/2017,8/14/2017,H-1B,1/25/2018,1/24/2021,"LOUIS BERGER U.S., INC.",,412 MOUNT KEMBLE AVENUE,MORRISTOWN,NJ,7960,,,,,,",",,,PROJECT CONTROLS MANAGER,13-1051,COST ESTIMATORS,5413,1,0,1,0,0,0,0,Y,108202,Year,,OES,2017,OFLC ONLINE DATA CENTER,108202,176159.82,Year,N,N,,,NA,FOSTER CITY,SAN MATEO,CA,94404,
