Ob,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,PUBLIC_DISCLOSURE_LOCATION,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,ORIGINAL_CERT_DATE
353,1/9/2017,1/9/2017,H-1B,7/2/2017,7/1/2020,CERNER CORPORATION,,2800 ROCKCREEK PARKWAY,NORTH KANSAS CITY,MO,64117,UNITED STATES OF AMERICA,,8162011024,NA,N,",",,,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,0,1,0,0,0,0,Y,66997,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,70900,0,Year,N,N,,Y,NA,KANSAS CITY,CLAY,MO,64117,
354,11/10/2016,11/10/2016,H-1B,1/16/2017,5/31/2017,NEW YORK UNIVERSITY,,383 LAFAYETTE ST,NEW YORK,NY,10003,UNITED STATES OF AMERICA,,2129984246,NA,N,",",,,ADJUNCT ASSISTANT PROFESSOR,25-1061,"ANTHROPOLOGY AND ARCHEOLOGY TEACHERS,",611310,1,1,0,0,1,0,0,N,128,Hour,,CBA,2016,,132.33,0,Hour,N,N,,Y,NA,NEW YORK,NEW YORK,NY,10028,
355,3/17/2017,3/20/2017,H-1B,9/16/2017,9/16/2020,REFLEXION MEDICAL,,25821 INDUSTRIAL BOULEVARD,HAYWARD,CA,94545,UNITED STATES OF AMERICA,,6502399070,NA,Y,"CLARE, JAMES",LOUISVILLE,KY,DATA ENGINEER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",334510,1,1,0,0,0,0,0,Y,83408,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,120000,0,Year,N,N,,Y,NA,HAYWARD,ALAMEDA,CA,94545,
356,3/17/2017,3/17/2017,H-1B,9/5/2017,9/5/2020,PARAM INFORMATION SYSTEMS INC.,,9466 BLACK MOUNTAIN ROAD,SAN DIEGO,CA,92126,UNITED STATES OF AMERICA,,8582514251,NA,Y,"BAGHANI, PANTEHA",SAN DIEGO,CA,PROGRAMMER ANALYST,15-1131,COMPUTER PROGRAMMERS,541519,1,1,0,0,0,0,0,Y,59821,Hour,Level I,OES,2016,OFLC ONLINE DATA CENTER,60000,0,Year,Y,N,Y,,NA,ELLICOTT CITY,HOWARD,MD,21043,
357,3/11/2014,10/25/2016,H-1B,9/6/2014,9/5/2017,AMAZON CORPORATE LLC,,440 TERRY AVE NORTH,SEATTLE,WA,98109,UNITED STATES OF AMERICA,,2062661000,NA,Y,"CAREY, MOLLY",BOSTON,MA,SOFTWARE DEVELOPMENT ENGINEER II,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",454111,1,0,1,0,0,0,0,Y,87547,Year,Level II,OES,2013,OFLC ONLINE DATA CENTER,101800,0,Year,N,N,,,NA,SEATTLE,KING,WA,98109,
358,2/23/2017,2/27/2017,H-1B,8/22/2017,8/22/2020,"PROLIFIC INTERACTIVE, LLC",,77 SANDS ST,BROOKLYN,NY,11201,UNITED STATES OF AMERICA,,3474620990,NA,Y,"NACHMAN, DAVID",RIDGEWOOD,NJ,SENIOR IOS ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,1,0,0,0,0,0,Y,70221,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,120000,0,Year,N,N,,Y,NA,BROOKLYN,KINGS,NY,11201,
359,12/30/2016,12/30/2016,H-1B,7/1/2017,6/29/2020,IBM INDIA PRIVATE LIMITED,,3039 CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192541504,NA,N,",",,,IT SPECIALIST,15-1131,COMPUTER PROGRAMMERS,54151,1,1,0,0,0,0,0,Y,74090,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,85538,90752,Year,N,N,,,NA,NEWARK,ESSEX,NJ,7105,
360,2/20/2017,2/21/2017,H-1B,3/31/2017,3/30/2020,S AND P SOLUTIONS CORPORATION,,3408 GRASSMERE ROAD,NAPERVILLE,IL,60564,UNITED STATES OF AMERICA,,6306050582,NA,Y,"LAMBOLEY, HAROLD",HAMDEN,CT,SENIOR QA TEST ENGINEER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",541511,1,0,1,0,0,0,0,Y,45677,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,63000,0,Year,N,N,,,NA,BOTHELL,SNOHOMISH,WA,98021,
361,3/7/2017,3/8/2017,H-1B,9/1/2017,9/1/2020,"HALLIBURTON ENERGY SERVICES, INC.",,3000 N.  SAM HOUSTON PARKWAY EAST,HOUSTON,TX,77032,UNITED STATES OF AMERICA,,7138394625,NA,Y,"JOHNYKUTTY, SOPHIA",HOUSTON,TX,PRINCIPAL III - DES,17-2171,PETROLEUM ENGINEERS,541330,1,1,0,0,0,0,0,Y,73342,Year,,Other,2016,DIETRICH FALL 2016 ENGINEERING SALARY SURVEY,95438,0,Year,N,N,,,NA,HOUSTON,HARRIS,TX,77032,
362,7/13/2017,7/13/2017,H-1B,8/14/2017,8/13/2020,"AIRBNB, INC.",,888 BRANNAN STREET,SAN FRANCISCO,CA,94103,,,,NA,,",",,,SOFTWARE ENGINEER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",561599,1,0,0,0,0,1,0,Y,153774,Year,,OES,2017,OFLC ONLINE DATA CENTER,2.00E+05,0,Year,N,N,,,NA,SAN FRANCISCO,SAN FRANCISCO,CA,94103,
363,11/1/2016,11/3/2016,H-1B,11/14/2016,11/13/2019,APPLE INC.,,ONE INFINITE LOOP,CUPERTINO,CA,95014,UNITED STATES OF AMERICA,,4089742562,NA,Y,"BAHNAN, NADINE",SAN FRANCISCO,CA,SOFTWARE ENGINEER APPS,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",334111,1,0,0,0,0,1,0,Y,124675,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,145000,165000,Year,N,N,,,NA,CUPERTINO,SANTA CLARA,CA,95014,
364,11/26/2014,8/21/2017,H-1B,3/5/2015,3/4/2018,SHURE INCORPORATED,,5800 WEST TOUHY AVENUE,NILES,IL,60714,,,,NA,,",",,,SPECIALIST II,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,3343,1,0,1,0,0,0,0,Y,50419,Year,,OES,2014,OFLC ONLINE DATA CENTER,63643,0,Year,N,N,,,NA,NILES,COOK,IL,60714,
365,3/13/2017,3/14/2017,H-1B,9/6/2017,9/6/2020,KS ASSOCIATES,,260 BURNS ROAD,ELYRIA,OH,44035,UNITED STATES OF AMERICA,,4403654730,NA,Y,"MOSS, KAREN GABRIEL",CLEVELAND,OH,STRUCTURAL ENGINEER,17-2051,CIVIL ENGINEERS,54133,1,1,0,0,0,0,0,Y,54184,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,54184,65000,Year,N,N,,,NA,ELYRIA,LORAIN,OH,44035,
366,3/9/2017,3/15/2017,H-1B,8/1/2017,7/31/2020,KONCERTIT,,10290 ALLIANCE ROAD,CINCINNATI,OH,45242,UNITED STATES OF AMERICA,,5137925100,NA,Y,"SCHALNAT, ELEANOR",CINCINNATI,OH,JAVA DEVELOPER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,1,1,0,0,0,0,0,Y,36.61,Hour,Level II,Other,2016,OFLC ONLINE DATA CENTER,36.61,0,Hour,N,N,,,NA,CINCINNATI,HAMILTIN,OH,45242,
367,3/8/2017,3/8/2017,H-1B,9/1/2017,12/30/2018,TRU SOLUTION SYSTEMS LLC,,47 HOLLY ROAD,ISELIN,NJ,8830,UNITED STATES OF AMERICA,,7323348562,NA,N,",",,,SOFTWARE ENGINEER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,1,1,0,0,0,0,0,Y,34.79,Hour,Level I,Other,2016,OFLC ONLINE DATA CENTER,35,0,Hour,Y,N,Y,Y,NA,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,
368,3/18/2017,3/18/2017,H-1B,9/15/2017,9/14/2020,ZAI GLOBAL INC,,15 CORPORATE PLACE S,PISCATAWAY,NJ,8854,UNITED STATES OF AMERICA,,7329937969,NA,N,",",,,SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,10,10,0,0,0,0,0,Y,63274,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,70000,0,Year,N,N,,,NA,PISCATAWAY,HARRIS,NJ,8854,
369,8/9/2017,8/9/2017,H-1B,2/6/2018,2/5/2021,HOWARD HUGHES MEDICAL INSTITUTE,,4000 JONES BRIDGE RD,CHEVY CHASE,MD,20815,,,,NA,,",",,,RESEARCH ASSOCIATE,19-1021,BIOCHEMISTS AND BIOPHYSICISTS,541710,1,1,0,0,0,0,0,Y,39790,Year,,OES,2017,OFLC ONLINE DATA CENTER,51000,0,Year,N,N,,Y,NA,CAMBRIDGE,MIDDLESEX,MA,2138,
370,11/12/2014,12/28/2016,H-1B,1/4/2015,1/3/2018,EASTERN MAINE MEDICAL CENTER,,489 STATE STREET,BANGOR,ME,4401,UNITED STATES OF AMERICA,,2079737000,NA,Y,"RAYNES, MATTHEW",BANGOR,ME,PHYSICIAN ASSISTANT,29-1071,PHYSICIAN ASSISTANTS,622110,1,1,0,0,0,0,0,Y,85946,Year,Level I,OES,2014,OFLC ONLINE DATA CENTER,95500,0,Year,N,N,,,NA,BANGOR,PENOBSCOT,ME,4401,
371,3/17/2017,3/22/2017,H-1B,9/13/2017,9/13/2020,POPULUS GROUP LLC,,3001 WEST BIG BEAVER ROAD,TROY,MI,48084,UNITED STATES OF AMERICA,,2487127983,NA,Y,"WISNIEWSKI, JOEL",TROY,MI,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",561320,1,1,0,0,0,0,0,Y,30.25,Hour,Level II,OES,2016,OFLC ONLINE DATA CENTER,30.25,0,Hour,N,N,,Y,NA,BAY CITY,BAY,MI,48706,
372,10/24/2016,8/25/2017,H-1B,11/7/2016,11/6/2019,"APPDYNAMICS, INC.",,"303 SECOND STREET, NORTH TOWER",SAN FRANCISCO,CA,94107,UNITED STATES OF AMERICA,,4154428426,NA,Y,"NGUYEN, LYNN",SAN FRANCISCO,CA,SITE RELIABILITY ENGINEER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",511210,1,0,0,0,0,1,0,Y,113381,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,120000,0,Year,Y,N,Y,Y,NA,SAN FRANCISCO,SAN FRANCISCO,CA,94107,
373,7/14/2017,7/20/2017,H-1B,7/22/2017,12/22/2019,IBM INDIA PRIVATE LIMITED,,3039 CORNWALLIS ROAD,DURHAM,NC,27709,,,,NA,,",",,,SENIOR L2 ETL ANALYST,15-1131,COMPUTER PROGRAMMERS,54151,1,0,1,0,0,0,0,Y,74277,Year,,OES,2017,OFLC ONLINE DATA CENTER,77131,85607,Year,N,N,,,NA,PISCATAWAY,MIDDLESEX,NJ,8854,
374,11/14/2016,11/17/2016,H-1B,12/20/2016,12/19/2019,GOOD SAMARITAN REGIONAL HEALTH CENTER,SSM HEALTH - GOOD SAMARITAN HOSPITAL,1 GOOD SAMARITAN WAY,MT. VERNON,IL,62864,UNITED STATES OF AMERICA,,6182424600,NA,Y,"SANDLER, BRADLEY",ST. LOUIS,MO,HOSPITALIST,29-1063,"INTERNISTS, GENERAL",621111,1,0,0,1,0,0,0,Y,137936,Year,Level I,Other,2016,OFLC ONLINE DATA CENTER,225000,3.00E+05,Year,N,N,,Y,NA,MT. VERNON,JEFFERSON,IL,62864,
375,3/17/2017,3/21/2017,H-1B,3/22/2017,3/22/2020,MEDWIN FAMILY MEDICINE & REHAB P.C,,315 JOSE MARTI BLVD,BROWNSVILLE,TX,78526,UNITED STATES OF AMERICA,,9565467530,NA,Y,"AKULA, KAVITHA",DALLAS,TX,MEDICAL & HEALTH SERVICES MANAGER,11-Nov,MEDICAL AND HEALTH SERVICES MANAGERS,62111,1,0,0,0,0,0,1,Y,75421,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,85000,0,Year,N,N,,,NA,BROWNSVILLE,CAMERON,TX,78526,
376,3/14/2017,3/17/2017,H-1B,9/13/2017,9/13/2020,"TEKSHAPERS, INC.",,1441 E MAPLE ROAD,TROY,MI,48083,UNITED STATES OF AMERICA,,2485654747,100,Y,"LOWRY, SARA",WEST BLOOMFIELD,MI,DATA ANALYST,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",54151,1,1,0,0,0,0,0,Y,47050,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,47050,0,Year,Y,N,Y,,NA,SALT LAKE CITY,SALT LAKE,UT,84107,
377,3/25/2017,3/25/2017,H-1B,9/23/2017,9/23/2020,"INSIGNIAM,  LLC",,301 WOODBINE AVE,NARBERTH,PA,19072,UNITED STATES OF AMERICA,,6106677822,NA,Y,"ARORA, SUMITA",PHILADELPHIA,PA,INTERNATIONAL SOCIAL MEDIA MANAGER,11-Nov,ADVERTISING AND PROMOTIONS MANAGERS,5614,1,1,0,0,0,0,0,Y,51771,Year,Level I,OES,2017,OFLC ONLINE DATA CENTER,54450,0,Year,N,N,,Y,NA,NARBERTH,MONTGOMERY,PA,19072,
378,6/6/2014,7/27/2017,H-1B,10/1/2014,9/30/2017,CUMMINS INC.,,2931 ELM HILL PIKE,NASHVILLE,TN,37214,,,,NA,,",",,,DIRECTOR - STRATEGY AND MARKET PLANNING,21-Nov,MARKETING MANAGERS,3336,1,0,0,1,0,0,0,Y,91624,Year,,OES,2013,OFLC ONLINE DATA CENTER,105500,131000,Year,N,N,,,NA,COLUMBUS,BARTHOLOMEW,IN,47201,
379,3/16/2017,3/22/2017,H-1B,9/2/2017,9/1/2020,FRAANK SYSTEMS,,1605 S. MAIN STREET,MILPITAS,CA,95035,UNITED STATES OF AMERICA,,4082626666,101,Y,"ALLEN, CHRISTIAN",TROY,MI,NETWORK ADMINISTRATOR,15-1142,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,54151,1,1,0,0,0,0,0,Y,71427,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,71500,0,Year,N,N,,,NA,MILPITAS,SANTA CLARA,CA,95035,
380,8/3/2017,8/4/2017,H-1B,10/1/2017,9/30/2020,"GUNJAN CUTTING EDGE SOLUTIONS, INC.",,1408 E. EMPIRE ST.,BLOOMINGTON,IL,61701,,,,NA,,",",,,CLINICAL SAS PROGRAMMER,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,0,1,0,0,0,Y,76107,Year,,OES,2017,OFLC ONLINE DATA CENTER,85000,0,Hour,Y,N,Y,Y,NA,BLOOMINGTON,MCLEAN,IL,61704,
381,5/30/2014,8/24/2017,H-1B,10/20/2014,10/19/2017,IBM CORPORATION,,"3039 CORNWALLIS RD, PO BOX 12195",DURHAM,NC,27709,,,,NA,,",",,,MANAGING CONSULTANT,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541510,1,0,1,0,0,0,0,Y,76773,Year,,OES,2013,OFLC ONLINE DATACENTER,76948.8,165000,Year,N,N,,,NA,COPPELL,DALLAS,TX,75019,
382,3/7/2017,3/7/2017,H-1B,9/5/2017,9/4/2020,"FUJITSU AMERICA, INC.",,2821 TELECOM PARKWAY,RICHARDSON,TX,75082,UNITED STATES OF AMERICA,,8009446055,NA,N,",",,,DATABASE ADMINISTRATOR,15-1141,DATABASE ADMINISTRATORS,541511,1,0,1,0,0,1,0,Y,85744,Year,,Other,2017,RADFORD GLOBAL TECHNOLOGY SURVEY,85744,0,Year,N,N,,,NA,RICHARDSON,COLLIN,TX,75082,
383,11/1/2016,11/1/2016,E-3 Australian,11/15/2016,11/15/2018,UNITY TECHNOLOGIES,,30 3RD STREET,SAN FRANCISCO,CA,94103,UNITED STATES OF AMERICA,,8583378225,NA,Y,"WEDEL, STEPHANIE",CHICAGO,IL,SENIOR VIRTUAL REALITY ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",511210,1,0,0,0,0,1,0,Y,138965,Year,Level IV,OES,2016,OFLC ONLINE DATA CENTER,160000,0,Year,,,,,NA,BELLEVUE,KING,WA,98004,
384,3/20/2017,3/20/2017,H-1B,9/19/2017,9/19/2020,"HUASCA, INC.",M4 DIGITAL MEDIA GROUP,2333 BRICKELL AVENUE,MIAMI,FL,33129,UNITED STATES OF AMERICA,,7865182857,NA,Y,"YAKER, REBECA",MIAMI,FL,COMMUNICATIONS SPECIALIST,27-3031,PUBLIC RELATIONS SPECIALISTS,54189,1,1,0,0,0,0,0,Y,37731,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,37731,0,Year,N,N,,Y,NA,MIAMI,MIAMI DADE,FL,33129,
385,9/22/2017,9/27/2017,H-1B,3/23/2018,3/22/2021,"ARISTA NETWORKS, INC.",,5453 GREAT AMERICA PARKWAY,SANTA CLARA,CA,95054,,,,NA,,",",,,SOFTWARE ENGINEER,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541512,1,0,1,0,0,0,0,Y,96516,Year,,Other,2017,RADFORD GLOBAL TECHNOLOGY SURVEY,150000,0,Year,N,N,,,NA,SANTA CLARA,SANTA CLARA,CA,95054,
386,12/29/2016,12/30/2016,H-1B,12/29/2016,12/28/2019,"TAVANT TECHNOLOGIES, INC",,3965 FREEDOM CIRCLE,SANTA CLARA,CA,95054,UNITED STATES OF AMERICA,,4085195400,NA,Y,"MEAMBER, NAVDEEP",SANTA CLARA,CA,SOFTWARE QUALITY ASSURANCE ENGINEER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",541511,1,0,0,1,0,0,0,Y,86424,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,87000,0,Year,Y,N,Y,,NA,EMERYVILLE,ALAMEDA,CA,94608,
387,3/6/2017,3/10/2017,H-1B,9/4/2017,9/4/2020,L&T TECHNOLOGY SERVICES LIMITED,,2035 LINCOLN HIGHWAY,EDISON,NJ,8817,UNITED STATES OF AMERICA,,7322486119,NA,Y,"JETHMALANI, ANIL",NEW YORK,NY,"SOFTWARE DEVELOPER, SYSTEMS SOFTWARE",15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541330,1,1,0,0,0,0,0,Y,61443,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,61443,71000,Year,Y,N,Y,,NA,KOKOMO,HOWARD,IN,46902,
388,5/9/2017,5/10/2017,H-1B,5/22/2017,5/21/2020,ABRIDGE INFO SYSTEMS INC.,,1 COURTHOUSE LANE,CHELMSFORD,MA,1824,UNITED STATES OF AMERICA,,7817913200,NA,Y,"SHAPIRO, HARVEY",NEW YORK,NY,SOFTWARE ENGINEER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",5415,1,0,0,0,0,0,1,Y,75525,Year,Level II,OES,2017,OFLC ONLINE DATA CENTER,80000,0,Year,Y,N,Y,Y,NA,MARLBOROUGH,MIDDLESEX,MA,1752,
389,1/29/2015,12/1/2016,H-1B,3/1/2015,2/28/2018,"NORTHEAST INTERNAL MEDICINE ASSOCIATES, P.C.",,2500 N DETROIT ST,LAGRANGE,IN,46761,UNITED STATES OF AMERICA,,2604632133,NA,Y,"Shurtleff, Alison",Washington,DC,HOSPITALIST,29-1069,"PHYSICIANS AND SURGEONS, ALL OTHER",621111,1,0,0,0,0,0,1,Y,166606,Year,,Other,2014,HOSPITAL AND HEALTHCARE COMPENSATION SERVICE: PHYSICIAN SALARY SURVEY,240000,0,Year,N,N,,Y,NA,COLUMBIA CITY,WHITLEY,IN,46725,
390,12/29/2016,1/4/2017,H-1B,6/30/2017,6/26/2020,IBM INDIA PRIVATE LIMITED,,3039 CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192541582,NA,N,",",,,APPLICATION DEVELOPER,15-1131,COMPUTER PROGRAMMERS,54151,1,1,0,0,0,0,0,Y,45781,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,78506,0,Year,N,N,,,NA,MONROE,QUACHITA,LA,71201,
391,12/30/2016,1/4/2017,H-1B,7/1/2017,6/26/2020,IBM INDIA PRIVATE LIMITED,,3039 CORNWALLIS ROAD,DURHAM,NC,27709,UNITED STATES OF AMERICA,,9192541582,NA,N,",",,,PACKAGE SOLUTION CONSULTANT,15-1121,COMPUTER SYSTEMS ANALYSTS,54151,1,1,0,0,0,0,0,Y,77272,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,78506,0,Year,N,N,,,NA,COSTA MESA,ORANGE,CA,92626,
392,3/3/2017,3/9/2017,H-1B,8/1/2017,8/1/2020,"PEGATRON TECHNOLOGY SERVICE, INC.",,121 RIVER RIDGE CIRCLE,JEFFERSONVILLE,IN,47130,UNITED STATES OF AMERICA,,8122807300,NA,Y,"LIANG, YONG",WEST COVINA,CA,PROCESS ENGINEER,17-2141,MECHANICAL ENGINEERS,3341,1,1,0,0,0,0,0,Y,1061.2,Week,Level I,OES,2016,OFLC ONLINE DATA CENTER,1061.2,0,Week,N,N,,,NA,ELK GROVE,SACRAMENTO,CA,95758,
393,1/6/2017,1/10/2017,H-1B,1/10/2017,1/5/2020,INTELLATIV INC,,9500 KOGER BLVD N,ST. PETERSBURG,FL,33702,UNITED STATES OF AMERICA,,8136092349,NA,Y,"PARVATHANENI, D.",DALLAS,TX,PROGRAMMER  ANALYST,15-1131,COMPUTER PROGRAMMERS,541511,1,1,0,0,0,0,0,Y,48131,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,70000,0,Year,Y,N,Y,Y,NA,ST. PETERSBURG,PINELLAS,FL,33702,
394,3/9/2017,3/10/2017,H-1B,9/5/2017,9/4/2020,MICROSTRATEGY SERVICES CORPORATION,,1850 TOWERS CRESCENT PLAZA,TYSONS CORNER,VA,22182,UNITED STATES OF AMERICA,,7038488600,NA,Y,"JONES, JOWANDA",ARLINGTON,VA,COMPUTER SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,5415,30,30,0,0,0,0,0,Y,63315,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,63315,0,Year,N,N,,,NA,TYSONS CORNER,FAIRFAX,VA,22182,
395,3/17/2016,1/19/2017,H-1B,8/23/2016,8/22/2019,LITMUS7 SYSTEMS CONSULTING INC.,,"#233, 75 BROADWAY",SAN FRANCISCO,CA,94111,UNITED STATES OF AMERICA,,4158192897,NA,Y,"SCARBOROUGH, STEPHANIE",JACKSONVILLE,FL,SENIOR ENGINEER - ATG,15-1133,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",541511,1,1,0,0,0,0,0,Y,84302,Year,Level I,Other,2015,OFLC ONLINE DATA CENTER,90000,0,Year,Y,N,Y,Y,NA,SAN FRANCISCO,SAN FRANCISCO,CA,94105,
396,8/24/2017,8/24/2017,H-1B,8/24/2017,8/20/2020,IBM INDIA PRIVATE LIMITED,,3039 CORNWALLIS ROAD,DURHAM,NC,27709,,,,NA,,",",,,TECHNICAL LEAD,15-1131,COMPUTER PROGRAMMERS,54151,1,0,0,0,0,0,1,Y,58115,Year,,OES,2016,OFLC ONLINE DATA CENTER,64641,0,Year,N,N,,,NA,WESTFIELD CENTER,MEDINA,OH,44251,
397,12/19/2016,12/19/2016,H-1B,1/18/2017,1/17/2020,SPIRIT PHYSICIAN SERVICES INC.,"HOLY SPIRIT MEDICAL GROUP, A GEISINGER AFFILIATE",100 NORTH ACADEMY AVENUE,DANVILLE,PA,17822-2428,UNITED STATES OF AMERICA,,5702146918,NA,Y,"STOCK, WILLIAM",PHILADELPHIA,PA,DIRECTOR/HOSPITALIST,29-1063,"INTERNISTS, GENERAL",621111,1,0,0,0,0,1,0,Y,190819,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,220000,325000,Year,N,N,,,NA,CAMP HILL,CUMBERLAND,PA,17011,
398,11/7/2016,11/10/2016,H-1B,4/23/2017,4/22/2020,SLK AMERICA INC.,,525 VINE STREET SUITE 2300,CINCINNATI,OH,45202,UNITED STATES OF AMERICA,,5132830996,NA,Y,"FLEISCHER, NEIL",CINCINNATI,OH,TEAM LEAD-TESTING,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,1,0,0,0,0,0,Y,72613,Year,Level II,Other,2016,OFLC ONLINE DATA CENTER,72686,0,Year,Y,N,Y,Y,NA,MEMPHIS,SHELBY,TN,38103,
399,10/20/2015,10/12/2016,H-1B,11/2/2015,11/2/2018,"OVERSTOCK.COM, INC.",D/B/A O.CO,6350 SOUTH 3000 EAST,SALT LAKE CITY,UT,84121,UNITED STATES OF AMERICA,,8019473177,NA,Y,"KUCK, CHARLES",ATLANTA,GA,SENIOR SOFTWARE TESTER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",454111,1,1,0,0,0,0,0,Y,76586,Year,Level II,OES,2015,OFLC ONLINE DATA CENTER,76586,96586,Year,N,N,,Y,NA,SALT LAKE CITY,SALT LAKE,UT,84121,
400,3/13/2017,3/13/2017,H-1B,3/20/2017,3/19/2020,EPSOFT TECHNOLOGIES LLC,,2727 LBJ FREEWAY,FARMERS BRANCH,TX,75234,UNITED STATES OF AMERICA,,8444377638,NA,Y,"VEMURU, SUNEIL",ELKRIDGE,MD,COMPUTER PROGRAMMER,15-1131,COMPUTER PROGRAMMERS,541511,1,0,0,0,0,1,0,Y,70034,Year,Level II,OES,2016,OFLC ONLINE DATA CENTER,70034,0,Year,N,N,,,NA,ALPHARETTA,FULTON,GA,30022,
401,4/30/2014,7/21/2017,H-1B,5/19/2014,5/18/2017,"WEALTHENGINE, INC",,4330 EAST WEST HIGHWAY,BETHESDA,MD,20814,,,,NA,,",",,,RESEARCH ANALYST,15-2091,MATHEMATICAL TECHNICIANS,541511,1,1,0,0,0,0,0,Y,53600,Year,,Other,2013,HRA-NCA COMPENSATION SURVEY,70000,80000,Year,N,N,,,NA,BETHESDA,MONTGOMERY,MD,20814,
402,3/27/2017,3/27/2017,H-1B,9/23/2017,9/22/2020,GOLDEN BAY SEAFOOD LLC,,13730 161ST PLACE SE,RENTON,WA,98059,UNITED STATES OF AMERICA,,2063541688,NA,Y,"LAU, FAYE",SEATTLE,WA,MARKET RESEARCH ANALYST,13-1161,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,424460,1,1,0,0,0,0,0,Y,46072,Year,Level I,OES,2016,OFLC ONLINE DATA CENTER,46072,0,Year,N,N,,,NA,RENTON,KING,WA,98059,
